area;name;rating;reviews;address;review_rating;review_text;reviewer_name;local_guide;date
Tugu Jogja;Nyore Coffee & Space;4.7;1631;Jl. Margo Utomo No.79, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia;4.0;One of the coffee shops located in Malioboro street. This place has a variety of drinks, snacks, and dishes to try. We tried one of their mocktails, it tastes okay and has a reasonable price. We also tried some of their snacks, such as the Tahu Cabe Garam, which has nice flavours. The place has indoors and semi-outdoors, with smoking and non-smoking areas, and has nice ambience. The staff here are friendly, and the foods and drinks came out relatively quickly. Overall, a good option to visit in Malioboro.;{'name': 'Sadewa 48', 'link': 'https://www.google.com/maps/contrib/115855204189200453717?hl=en-US', 'contributor_id': '115855204189200453717', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWm0gBGSsrq_hG0KNqIVR5unyijvpr6w16Ub6OcyI-wCP0Q2EKH=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 656, 'photos': 2540};;2 weeks ago
Tugu Jogja;Nyore Coffee & Space;4.7;1631;Jl. Margo Utomo No.79, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia;5.0;good place to spend the afternoon! tho it gets pretty crowded near the evening! foods are okay but the sauce for the salted egg is kinda dry, still very enjoyable tho!;{'name': 'Prima Sabrina', 'link': 'https://www.google.com/maps/contrib/103134824477731749592?hl=en-US', 'contributor_id': '103134824477731749592', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW2iFS_aPUovCuoFt326I_Pze8KwHsqATBHDjh2XD2FqqnpPWT5=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 31, 'photos': 47};;2 months ago
Tugu Jogja;Nyore Coffee & Space;4.7;1631;Jl. Margo Utomo No.79, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia;3.0;"It’s an okay place to hang out, but it’s not really my preference for enjoying coffee. They have several “modern” coffee options (coffee mixed with various things), along with teas and some food.
I ordered Kalamansi Iced Tea and Vietnamese Drip, but they didn’t quite meet my expectations. They served the Vietnamese coffee without the drip tools, and they forgot to give me a spoon to stir it—maybe they rarely serve that one. The cashier didn’t seem to know much about coffee, but fortunately, the waiter was friendly.
There are toilets and a musholla available here.
I think this place is more suitable for Gen Zs.";{'name': 'Arrum Fathia Sari', 'link': 'https://www.google.com/maps/contrib/104455879239807232184?hl=en-US', 'contributor_id': '104455879239807232184', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXOHYRsCRnhqASCe5g-Kjv8eSVUVd5OwCChnWBg4Pl3-0E4Dfew=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 134, 'photos': 611};;2 months ago
Tugu Jogja;Nyore Coffee & Space;4.7;1631;Jl. Margo Utomo No.79, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia;5.0;"Best coffee

Spacious parking lot

Various food and beverage

In the heart of Yogyakarta -- Malioboro";{'name': 'Eldo Delamontano', 'link': 'https://www.google.com/maps/contrib/107181826830215872530?hl=en-US', 'contributor_id': '107181826830215872530', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWqaRY__bzozNmuF6qf3gk9WPRRv7mksFT45LSWTLO227e_WBN37A=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 628, 'photos': 3059};;5 months ago
Tugu Jogja;Nyore Coffee & Space;4.7;1631;Jl. Margo Utomo No.79, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia;1.0;"I visited your place today with my brother. While he was ordering coffee, I sat on a bench with decorative lights. Out of nowhere, an exposed, cut-open wire from those lights shocked me.
The jolt hurt that I felt pain right away, and my right leg cramped and went numb. What really surprised me, though, was how the staff handled it. When I told them what happened, all they said was, “Maaf ya, Kak,” without even asking if I was okay or showing much concern. Then they just taped a tissue napkin over the wire. That felt careless and unsafe, especially since the same thing could easily happen to another guest, even a child or an elderly person.
Please take a serious look at this issue. A little more care for your customers could prevent a much worse accident in the future. Sometimes a simple, “Are you okay?” or “How are you feeling?” can make all the difference. Just a little empathy goes a long way.";{'name': 'Anissa Chandra', 'link': 'https://www.google.com/maps/contrib/114277902056500561349?hl=en-US', 'contributor_id': '114277902056500561349', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWfZ2zYN-y-i4lnm4DklVuIhBtLxVmM6PBOulIxWiSMA6oKn4pI=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 12, 'photos': 10};;3 months ago
Tugu Jogja;Nyore Coffee & Space;4.7;1631;Jl. Margo Utomo No.79, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia;1.0;"Why waiting until we sit down, giving us menu QR code so we order, looking through menu, until we hear another employee telling customer they don't have food at all avaliable.
Inconvenience";{'name': 'Jelena K', 'link': 'https://www.google.com/maps/contrib/102476973777283699697?hl=en-US', 'contributor_id': '102476973777283699697', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJ3GpDIW1Af6dCzpxeZneseR6UZ5rgiZd3MvWwwTiBhGjpsjxk=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 23, 'photos': 32};;a month ago
Tugu Jogja;Nyore Coffee & Space;4.7;1631;Jl. Margo Utomo No.79, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia;3.0;"The place is spacious, but restrooms/toilet is only available on the 2nd level. So it's abit troublesome if you happen to stay at the 1st level.

Matcha is at Rp36,000. With that price in Yogya, I expect that it's a pure matcha that comes with oat milk, but I put my expectations too high. Not recommended.

Then I bought this... brown sauce... sausage... something at Rp35,000. Everything's so-so.

Oh. Maybe fix or add a new aircon for a better atmosphere :)";{'name': 'F Zahra', 'link': 'https://www.google.com/maps/contrib/104841933669890806706?hl=en-US', 'contributor_id': '104841933669890806706', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLNAxTtzPk8TB4UKa2mbaWzbXHmdjQWMEuXeNaHtQv2tQzD8bE=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 116, 'photos': 197};;8 months ago
Tugu Jogja;Nyore Coffee & Space;4.7;1631;Jl. Margo Utomo No.79, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia;3.0;"The taste is so-so, for that price; other places seem to be better. I also noticed the barista's coffee-making area was very messy. The cashier was a woman and very friendly. My only regret is that the male waiter who took our order was very unfriendly. His face was wrinkled, without a smile or greeting. We thanked him, but he looked away, as if he didn't like us for something that we don't know why. It was quite surprising, haha. But this place is comfortable enough for those who just want to come and sit.";{'name': 'Ray March Syahadat', 'link': 'https://www.google.com/maps/contrib/116893104338707515559?hl=en-US', 'contributor_id': '116893104338707515559', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUKruy-okvDnSw870BGtGwBsfUhfUq88EDVFEuvw8eawCAwfP81=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 487, 'photos': 508};;5 months ago
Tugu Jogja;Kebon Ndalem Coffee & Eatery;4.4;5116;Jl. Pangeran Diponegoro No.2, Gowongan, Jetis, Yogyakarta City, Special Region of Yogyakarta 55233, Indonesia;5.0;The prices are a bit on the pricey side, but it makes sense since the café is located right in front of the famous Tugu Yogyakarta monument. I only ordered a drink and it tasted amazing. The service is good, and the ambience is calm and relaxing. I recommend coming early before the evening because the place usually gets very crowded due to its prime location. Overall, a nice spot to enjoy coffee with a view of the Tugu.;{'name': 'zakaria faraji', 'link': 'https://www.google.com/maps/contrib/103779991724994680689?hl=en-US', 'contributor_id': '103779991724994680689', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVJLy8dI1kC8jMRi2xxk2gW35kP-qpEw-vn8UI_Frv1XsL_C1I=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 69, 'photos': 476};;3 months ago
Tugu Jogja;Kebon Ndalem Coffee & Eatery;4.4;5116;Jl. Pangeran Diponegoro No.2, Gowongan, Jetis, Yogyakarta City, Special Region of Yogyakarta 55233, Indonesia;5.0;Nice atmosphere with both indoor and outdoor seating overlooking Togu Jogja. The food tastes great, and the staff are very friendly and helpful. Parking is easy to find. If you come in the late morning, the outdoor view area can be a bit crowded, but still worth it!;{'name': 'Passakorn Schuaphudee', 'link': 'https://www.google.com/maps/contrib/110972646791117799606?hl=en-US', 'contributor_id': '110972646791117799606', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW1zdjpUkj-W15aqpZFwN0Qj0wkMMFiehaHTxSrMKllpOPzmEh9=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 37, 'photos': 124};;3 months ago
